Numbers 12:3	(Now the man Moses was very meek, above all the men which were on the face of the earth.)
Luke 9:38	And, behold, a man of the company cried out, saying, Master, I beseech you, look on my son: for he is my only child.
James 1:1	James, a servant of God and of the Lord Jesus Christ, to the twelve tribes which are scattered abroad, greeting.
Exodus 12:41	And it came to pass at the end of the four hundred and thirty years, even the selfsame day it came to pass, that all the hosts of the LORD went out from the land of Egypt.
2 Chronicles 13:20	Neither did Jeroboam recover strength again in the days of Abijah: and the LORD struck him, and he died.
Luke 11:21	When a strong man armed keeps his palace, his goods are in peace:
John 11:7	Then after that said he to his disciples, Let us go into Judaea again.
Leviticus 22:4	What man soever of the seed of Aaron is a leper, or has a running issue; he shall not eat of the holy things, until he be clean. And whoever touches any thing that is unclean by the dead, or a man whose seed goes from him;
Deuteronomy 18:22	When a prophet speaks in the name of the LORD, if the thing follow not, nor come to pass, that is the thing which the LORD has not spoken, but the prophet has spoken it presumptuously: you shall not be afraid of him.
Job 33:8	Surely you have spoken in my hearing, and I have heard the voice of your words, saying,
2 Chronicles 35:16	So all the service of the LORD was prepared the same day, to keep the passover, and to offer burnt offerings on the altar of the LORD, according to the commandment of king Josiah.
Exodus 24:18	And Moses went into the middle of the cloud, and got him up into the mount: and Moses was in the mount forty days and forty nights.
Psalm 43:2	For you are the God of my strength: why do you cast me off? why go I mourning because of the oppression of the enemy?
Acts 8:36	And as they went on their way, they came to a certain water: and the eunuch said, See, here is water; what does hinder me to be baptized?
2 Samuel 19:9	And all the people were at strife throughout all the tribes of Israel, saying, The king saved us out of the hand of our enemies, and he delivered us out of the hand of the Philistines; and now he is fled out of the land for Absalom.
2 Timothy 4:14	Alexander the coppersmith did me much evil: the Lord reward him according to his works:
Job 16:14	He breaks me with breach on breach, he runs on me like a giant.
Ezra 5:15	And said to him, Take these vessels, go, carry them into the temple that is in Jerusalem, and let the house of God be built in his place.
Isaiah 26:17	Like as a woman with child, that draws near the time of her delivery, is in pain, and cries out in her pangs; so have we been in your sight, O LORD.
Colossians 1:20	And, having made peace through the blood of his cross, by him to reconcile all things to himself; by him, I say, whether they be things in earth, or things in heaven.
Luke 22:62	And Peter went out, and wept bitterly.
Acts 2:39	For the promise is to you, and to your children, and to all that are afar off, even as many as the LORD our God shall call.
Nehemiah 7:18	The children of Adonikam, six hundred three score and seven.
2 Chronicles 19:6	And said to the judges, Take heed what you do: for you judge not for man, but for the LORD, who is with you in the judgment.
Romans 14:19	Let us therefore follow after the things which make for peace, and things with which one may edify another.
Leviticus 11:33	And every earthen vessel, into where any of them falls, whatever is in it shall be unclean; and you shall break it.
Ezekiel 27:12	Tarshish was your merchant by reason of the multitude of all kind of riches; with silver, iron, tin, and lead, they traded in your fairs.
Acts 17:8	And they troubled the people and the rulers of the city, when they heard these things.
Psalm 132:3	Surely I will not come into the tabernacle of my house, nor go up into my bed;
2 Samuel 6:3	And they set the ark of God on a new cart, and brought it out of the house of Abinadab that was in Gibeah: and Uzzah and Ahio, the sons of Abinadab, drove the new cart.
Luke 1:37	For with God nothing shall be impossible.
Isaiah 3:1	For, behold, the Lord, the LORD of hosts, does take away from Jerusalem and from Judah the stay and the staff, the whole stay of bread, and the whole stay of water.
Leviticus 11:20	All fowls that creep, going on all four, shall be an abomination to you.
2 Corinthians 11:19	For you suffer fools gladly, seeing you yourselves are wise.
Deuteronomy 12:10	But when you go over Jordan, and dwell in the land which the LORD your God gives you to inherit, and when he gives you rest from all your enemies round about, so that you dwell in safety;
Matthew 21:12	And Jesus went into the temple of God, and cast out all them that sold and bought in the temple, and overthrew the tables of the moneychangers, and the seats of them that sold doves,
Jeremiah 35:13	Thus said the LORD of hosts, the God of Israel; Go and tell the men of Judah and the inhabitants of Jerusalem, Will you not receive instruction to listen to my words? said the LORD.
Genesis 24:44	And she say to me, Both drink you, and I will also draw for your camels: let the same be the woman whom the LORD has appointed out for my master’s son.
Revelation 1:17	And when I saw him, I fell at his feet as dead. And he laid his right hand on me, saying to me, Fear not; I am the first and the last:
Deuteronomy 29:28	And the LORD rooted them out of their land in anger, and in wrath, and in great indignation, and cast them into another land, as it is this day.
1 Chronicles 10:9	And when they had stripped him, they took his head, and his armor, and sent into the land of the Philistines round about, to carry tidings to their idols, and to the people.
Ezra 4:21	Give you now commandment to cause these men to cease, and that this city be not built, until another commandment shall be given from me.
2 Kings 9:35	And they went to bury her: but they found no more of her than the skull, and the feet, and the palms of her hands.
1 Samuel 24:7	So David stayed his servants with these words, and suffered them not to rise against Saul. But Saul rose up out of the cave, and went on his way.
2 Samuel 17:1	Moreover Ahithophel said to Absalom, Let me now choose out twelve thousand men, and I will arise and pursue after David this night:
Joshua 11:3	And to the Canaanite on the east and on the west, and to the Amorite, and the Hittite, and the Perizzite, and the Jebusite in the mountains, and to the Hivite under Hermon in the land of Mizpeh.
Nehemiah 13:25	And I contended with them, and cursed them, and smote certain of them, and plucked off their hair, and made them swear by God, saying, You shall not give your daughters to their sons, nor take their daughters to your sons, or for yourselves.
Leviticus 27:11	And if it be any unclean beast, of which they do not offer a sacrifice to the LORD, then he shall present the beast before the priest:
John 6:52	The Jews therefore strove among themselves, saying, How can this man give us his flesh to eat?
Judges 3:7	And the children of Israel did evil in the sight of the LORD, and forgot the LORD their God, and served Baalim and the groves.
Ezra 2:40	The Levites: the children of Jeshua and Kadmiel, of the children of Hodaviah, seventy and four.
Exodus 37:5	And he put the staves into the rings by the sides of the ark, to bear the ark.
Jeremiah 12:14	Thus said the LORD against all my evil neighbors, that touch the inheritance which I have caused my people Israel to inherit; Behold, I will pluck them out of their land, and pluck out the house of Judah from among them.
Mark 14:42	Rise up, let us go; see, he that betrays me is at hand.
Genesis 33:6	Then the handmaidens came near, they and their children, and they bowed themselves.
Psalm 44:4	You are my King, O God: command deliverances for Jacob.
Leviticus 2:16	And the priest shall burn the memorial of it, part of the beaten corn thereof, and part of the oil thereof, with all the frankincense thereof: it is an offering made by fire to the LORD.
Genesis 26:3	Sojourn in this land, and I will be with you, and will bless you; for to you, and to your seed, I will give all these countries, and I will perform the oath which I swore to Abraham your father;
1 Chronicles 14:8	And when the Philistines heard that David was anointed king over all Israel, all the Philistines went up to seek David. And David heard of it, and went out against them.
Psalm 119:22	Remove from me reproach and contempt; for I have kept your testimonies.
Numbers 10:5	When you blow an alarm, then the camps that lie on the east parts shall go forward.
2 Samuel 14:5	And the king said to her, What ails you? And she answered, I am indeed a widow woman, and my husband is dead.
John 20:28	And Thomas answered and said to him, My LORD and my God.
Numbers 27:1	Then came the daughters of Zelophehad, the son of Hepher, the son of Gilead, the son of Machir, the son of Manasseh, of the families of Manasseh the son of Joseph: and these are the names of his daughters; Mahlah, Noah, and Hoglah, and Milcah, and Tirzah.
Proverbs 3:9	Honor the LORD with your substance, and with the first fruits of all your increase:
1 Chronicles 16:20	And when they went from nation to nation, and from one kingdom to another people;
Psalm 61:7	He shall abide before God for ever: O prepare mercy and truth, which may preserve him.
John 13:17	If you know these things, happy are you if you do them.
Matthew 7:2	For with what judgment you judge, you shall be judged: and with what measure you mete, it shall be measured to you again.
Leviticus 27:21	But the field, when it goes out in the jubilee, shall be holy to the LORD, as a field devoted; the possession thereof shall be the priest’s.
Deuteronomy 7:8	But because the LORD loved you, and because he would keep the oath which he had sworn to your fathers, has the LORD brought you out with a mighty hand, and redeemed you out of the house of slaves, from the hand of Pharaoh king of Egypt.
Job 9:23	If the whip slay suddenly, he will laugh at the trial of the innocent.
Jeremiah 25:12	And it shall come to pass, when seventy years are accomplished, that I will punish the king of Babylon, and that nation, said the LORD, for their iniquity, and the land of the Chaldeans, and will make it perpetual desolations.
Genesis 46:23	And the sons of Dan; Hushim.
Genesis 32:4	And he commanded them, saying, Thus shall you speak to my lord Esau; Your servant Jacob said thus, I have sojourned with Laban, and stayed there until now:
Numbers 3:21	Of Gershon was the family of the Libnites, and the family of the Shimites: these are the families of the Gershonites.
Zechariah 6:2	In the first chariot were red horses; and in the second chariot black horses;
Ezekiel 40:12	The space also before the little chambers was one cubit on this side, and the space was one cubit on that side: and the little chambers were six cubits on this side, and six cubits on that side.
Exodus 16:5	And it shall come to pass, that on the sixth day they shall prepare that which they bring in; and it shall be twice as much as they gather daily.
2 Kings 21:20	And he did that which was evil in the sight of the LORD, as his father Manasseh did.
Job 33:16	Then he opens the ears of men, and seals their instruction,
2 Timothy 3:7	Ever learning, and never able to come to the knowledge of the truth.
2 Samuel 21:4	And the Gibeonites said to him, We will have no silver nor gold of Saul, nor of his house; neither for us shall you kill any man in Israel. And he said, What you shall say, that will I do for you.
Job 7:7	O remember that my life is wind: my eye shall no more see good.
Joshua 22:12	And when the children of Israel heard of it, the whole congregation of the children of Israel gathered themselves together at Shiloh, to go up to war against them.
2 Samuel 24:21	And Araunah said, Why is my lord the king come to his servant? And David said, To buy the threshing floor of you, to build an altar to the LORD, that the plague may be stayed from the people.
Romans 9:24	Even us, whom he has called, not of the Jews only, but also of the Gentiles?
Psalm 73:9	They set their mouth against the heavens, and their tongue walks through the earth.
Revelation 9:18	By these three was the third part of men killed, by the fire, and by the smoke, and by the brimstone, which issued out of their mouths.
Lamentations 5:20	Why do you forget us for ever, and forsake us so long time?
Numbers 6:8	All the days of his separation he is holy to the LORD.
Psalm 147:8	Who covers the heaven with clouds, who prepares rain for the earth, who makes grass to grow on the mountains.
1 Samuel 11:3	And the elders of Jabesh said to him, Give us seven days’ respite, that we may send messengers to all the coasts of Israel: and then, if there be no man to save us, we will come out to you.
1 Corinthians 8:12	But when you sin so against the brothers, and wound their weak conscience, you sin against Christ.
Genesis 26:1	And there was a famine in the land, beside the first famine that was in the days of Abraham. And Isaac went to Abimelech king of the Philistines to Gerar.
Isaiah 58:13	If you turn away your foot from the sabbath, from doing your pleasure on my holy day; and call the sabbath a delight, the holy of the LORD, honorable; and shall honor him, not doing your own ways, nor finding your own pleasure, nor speaking your own words:
Psalm 107:30	Then are they glad because they be quiet; so he brings them to their desired haven.
2 Kings 19:11	Behold, you have heard what the kings of Assyria have done to all lands, by destroying them utterly: and shall you be delivered?
Job 37:10	By the breath of God frost is given: and the breadth of the waters is straitened.
Isaiah 13:7	Therefore shall all hands be faint, and every man’s heart shall melt:
Numbers 32:27	But your servants will pass over, every man armed for war, before the LORD to battle, as my lord said.
Leviticus 7:2	In the place where they kill the burnt offering shall they kill the trespass offering: and the blood thereof shall he sprinkle round about on the altar.
Song of Solomon 5:10	My beloved is white and ruddy, the most chief among ten thousand.
Psalm 48:3	God is known in her palaces for a refuge.
Nehemiah 9:6	You, even you, are LORD alone; you have made heaven, the heaven of heavens, with all their host, the earth, and all things that are therein, the seas, and all that is therein, and you preserve them all; and the host of heaven worships you.
Judges 21:12	And they found among the inhabitants of Jabeshgilead four hundred young virgins, that had known no man by lying with any male: and they brought them to the camp to Shiloh, which is in the land of Canaan.
Judges 2:2	And you shall make no league with the inhabitants of this land; you shall throw down their altars: but you have not obeyed my voice: why have you done this?
Esther 5:13	Yet all this avails me nothing, so long as I see Mordecai the Jew sitting at the king’s gate.
1 Chronicles 4:25	Shallum his son, Mibsam his son, Mishma his son.
Hebrews 1:11	They shall perish; but you remain; and they all shall wax old as does a garment;
Jeremiah 9:5	And they will deceive every one his neighbor, and will not speak the truth: they have taught their tongue to speak lies, and weary themselves to commit iniquity.
Ezekiel 3:4	And he said to me, Son of man, go, get you to the house of Israel, and speak with my words to them.
Exodus 14:11	And they said to Moses, Because there were no graves in Egypt, have you taken us away to die in the wilderness? why have you dealt thus with us, to carry us forth out of Egypt?
Numbers 4:33	This is the service of the families of the sons of Merari, according to all their service, in the tabernacle of the congregation, under the hand of Ithamar the son of Aaron the priest.
2 Chronicles 18:14	And when he was come to the king, the king said to him, Micaiah, shall we go to Ramothgilead to battle, or shall I forbear? And he said, Go you up, and prosper, and they shall be delivered into your hand.
2 Samuel 1:3	And David said to him, From where come you? And he said to him, Out of the camp of Israel am I escaped.
Romans 11:20	Well; because of unbelief they were broken off, and you stand by faith. Be not high minded, but fear:
Ezekiel 40:33	And the little chambers thereof, and the posts thereof, and the arches thereof, were according to these measures: and there were windows therein and in the arches thereof round about: it was fifty cubits long, and five and twenty cubits broad.
Judges 20:7	Behold, you are all children of Israel; give here your advice and counsel.
Ezekiel 48:14	And they shall not sell of it, neither exchange, nor alienate the first fruits of the land: for it is holy to the LORD.
Psalm 91:2	I will say of the LORD, He is my refuge and my fortress: my God; in him will I trust.
2 Kings 21:23	And the servants of Amon conspired against him, and slew the king in his own house.
2 Samuel 10:18	And the Syrians fled before Israel; and David slew the men of seven hundred chariots of the Syrians, and forty thousand horsemen, and smote Shobach the captain of their host, who died there.
1 Thessalonians 5:16	Rejoice ever more.
Job 38:8	Or who shut up the sea with doors, when it broke forth, as if it had issued out of the womb?
Proverbs 3:15	She is more precious than rubies: and all the things you can desire are not to be compared to her.
Matthew 10:23	But when they persecute you in this city, flee you into another: for truly I say to you, You shall not have gone over the cities of Israel, till the Son of man be come.
Luke 6:37	Judge not, and you shall not be judged: condemn not, and you shall not be condemned: forgive, and you shall be forgiven:
Colossians 2:17	Which are a shadow of things to come; but the body is of Christ.
1 Samuel 30:31	And to them which were in Hebron, and to all the places where David himself and his men were wont to haunt.
1 Chronicles 15:27	And David was clothed with a robe of fine linen, and all the Levites that bore the ark, and the singers, and Chenaniah the master of the song with the singers: David also had on him an ephod of linen.
Song of Solomon 5:14	His hands are as gold rings set with the beryl: his belly is as bright ivory overlaid with sapphires.
Judges 5:26	She put her hand to the nail, and her right hand to the workmen’s hammer; and with the hammer she smote Sisera, she smote off his head, when she had pierced and stricken through his temples.
Deuteronomy 12:9	For you are not as yet come to the rest and to the inheritance, which the LORD your God gives you.
1 Samuel 28:22	Now therefore, I pray you, listen you also to the voice of your handmaid, and let me set a morsel of bread before you; and eat, that you may have strength, when you go on your way.
Jeremiah 44:24	Moreover Jeremiah said to all the people, and to all the women, Hear the word of the LORD, all Judah that are in the land of Egypt:
Genesis 17:24	And Abraham was ninety years old and nine, when he was circumcised in the flesh of his foreskin.
Hebrews 9:22	And almost all things are by the law purged with blood; and without shedding of blood is no remission.
John 7:37	In the last day, that great day of the feast, Jesus stood and cried, saying, If any man thirst, let him come to me, and drink.
John 9:11	He answered and said, A man that is called Jesus made clay, and anointed my eyes, and said to me, Go to the pool of Siloam, and wash: and I went and washed, and I received sight.
Mark 8:15	And he charged them, saying, Take heed, beware of the leaven of the Pharisees, and of the leaven of Herod.
John 14:25	These things have I spoken to you, being yet present with you.
Genesis 27:10	And you shall bring it to your father, that he may eat, and that he may bless you before his death.
John 12:49	For I have not spoken of myself; but the Father which sent me, he gave me a commandment, what I should say, and what I should speak.
Deuteronomy 16:16	Three times in a year shall all your males appear before the LORD your God in the place which he shall choose; in the feast of unleavened bread, and in the feast of weeks, and in the feast of tabernacles: and they shall not appear before the LORD empty:
1 Chronicles 9:5	And of the Shilonites; Asaiah the firstborn, and his sons.
Proverbs 24:4	And by knowledge shall the chambers be filled with all precious and pleasant riches.
Jeremiah 23:21	I have not sent these prophets, yet they ran: I have not spoken to them, yet they prophesied.
Romans 4:23	Now it was not written for his sake alone, that it was imputed to him;
1 Thessalonians 2:8	So being affectionately desirous of you, we were willing to have imparted to you, not the gospel of God only, but also our own souls, because you were dear to us.
Acts 4:13	Now when they saw the boldness of Peter and John, and perceived that they were unlearned and ignorant men, they marveled; and they took knowledge of them, that they had been with Jesus.
Deuteronomy 22:3	In like manner shall you do with his ass; and so shall you do with his raiment; and with all lost thing of your brother’s, which he has lost, and you have found, shall you do likewise: you may not hide yourself.
Psalm 78:22	Because they believed not in God, and trusted not in his salvation:
Lamentations 3:19	Remembering my affliction and my misery, the wormwood and the gall.
Leviticus 22:32	Neither shall you profane my holy name; but I will be hallowed among the children of Israel: I am the LORD which hallow you,
Exodus 12:46	In one house shall it be eaten; you shall not carry forth ought of the flesh abroad out of the house; neither shall you break a bone thereof.
Nehemiah 4:13	Therefore set I in the lower places behind the wall, and on the higher places, I even set the people after their families with their swords, their spears, and their bows.
Philemon 1:2	And to our beloved Apphia, and Archippus our fellow soldier, and to the church in your house:
Deuteronomy 14:29	And the Levite, (because he has no part nor inheritance with you,) and the stranger, and the fatherless, and the widow, which are within your gates, shall come, and shall eat and be satisfied; that the LORD your God may bless you in all the work of your hand which you do.
Ezekiel 29:11	No foot of man shall pass through it, nor foot of beast shall pass through it, neither shall it be inhabited forty years.
Mark 6:21	And when a convenient day was come, that Herod on his birthday made a supper to his lords, high captains, and chief estates of Galilee;
Hebrews 11:18	Of whom it was said, That in Isaac shall your seed be called:
Exodus 39:39	The brazen altar, and his grate of brass, his staves, and all his vessels, the laver and his foot,
Numbers 33:29	And they went from Mithcah, and pitched in Hashmonah.
Mark 8:31	And he began to teach them, that the Son of man must suffer many things, and be rejected of the elders, and of the chief priests, and scribes, and be killed, and after three days rise again.
Ezekiel 47:12	And by the river on the bank thereof, on this side and on that side, shall grow all trees for meat, whose leaf shall not fade, neither shall the fruit thereof be consumed: it shall bring forth new fruit according to his months, because their waters they issued out of the sanctuary: and the fruit thereof shall be for meat, and the leaf thereof for medicine.
Revelation 5:13	And every creature which is in heaven, and on the earth, and under the earth, and such as are in the sea, and all that are in them, heard I saying, Blessing, and honor, and glory, and power, be to him that sits on the throne, and to the Lamb for ever and ever.
Ezra 10:14	Let now our rulers of all the congregation stand, and let all them which have taken strange wives in our cities come at appointed times, and with them the elders of every city, and the judges thereof, until the fierce wrath of our God for this matter be turned from us.
Genesis 48:13	And Joseph took them both, Ephraim in his right hand toward Israel’s left hand, and Manasseh in his left hand toward Israel’s right hand, and brought them near to him.
1 Peter 2:21	For even hereunto were you called: because Christ also suffered for us, leaving us an example, that you should follow his steps:
2 Samuel 2:19	And Asahel pursued after Abner; and in going he turned not to the right hand nor to the left from following Abner.
Numbers 7:50	One golden spoon of ten shekels, full of incense:
Jeremiah 39:5	But the Chaldeans’ army pursued after them, and overtook Zedekiah in the plains of Jericho: and when they had taken him, they brought him up to Nebuchadnezzar king of Babylon to Riblah in the land of Hamath, where he gave judgment on him.
Ezra 2:34	The children of Jericho, three hundred forty and five.
Numbers 5:3	Both male and female shall you put out, without the camp shall you put them; that they defile not their camps, in the middle whereof I dwell.
Philippians 2:17	Yes, and if I be offered on the sacrifice and service of your faith, I joy, and rejoice with you all.
Acts 11:15	And as I began to speak, the Holy Ghost fell on them, as on us at the beginning.
Amos 1:9	Thus said the LORD; For three transgressions of Tyrus, and for four, I will not turn away the punishment thereof; because they delivered up the whole captivity to Edom, and remembered not the brotherly covenant:
Judges 13:16	And the angel of the LORD said to Manoah, Though you detain me, I will not eat of your bread: and if you will offer a burnt offering, you must offer it to the LORD. For Manoah knew not that he was an angel of the LORD.
Job 28:14	The depth said, It is not in me: and the sea said, It is not with me.
Matthew 13:52	Then said he to them, Therefore every scribe which is instructed to the kingdom of heaven is like to a man that is an householder, which brings forth out of his treasure things new and old.
Amos 2:13	Behold, I am pressed under you, as a cart is pressed that is full of sheaves.
Daniel 2:29	As for you, O king, your thoughts came into your mind on your bed, what should come to pass hereafter: and he that reveals secrets makes known to you what shall come to pass.
Numbers 8:12	And the Levites shall lay their hands on the heads of the bullocks: and you shall offer the one for a sin offering, and the other for a burnt offering, to the LORD, to make an atonement for the Levites.
Matthew 25:17	And likewise he that had received two, he also gained other two.
Proverbs 22:21	That I might make you know the certainty of the words of truth; that you might answer the words of truth to them that send to you?
Job 19:12	His troops come together, and raise up their way against me, and encamp round about my tabernacle.
John 10:39	Therefore they sought again to take him: but he escaped out of their hand,
Luke 24:28	And they drew near to the village, where they went: and he made as though he would have gone further.
1 Corinthians 16:5	Now I will come to you, when I shall pass through Macedonia: for I do pass through Macedonia.
Genesis 2:18	And the LORD God said, It is not good that the man should be alone; I will make him an help meet for him.
Isaiah 60:12	For the nation and kingdom that will not serve you shall perish; yes, those nations shall be utterly wasted.
Deuteronomy 24:16	The fathers shall not be put to death for the children, neither shall the children be put to death for the fathers: every man shall be put to death for his own sin.
Exodus 28:20	And the fourth row a beryl, and an onyx, and a jasper: they shall be set in gold in their settings.
Psalm 78:21	Therefore the LORD heard this, and was wroth: so a fire was kindled against Jacob, and anger also came up against Israel;
Matthew 12:2	But when the Pharisees saw it, they said to him, Behold, your disciples do that which is not lawful to do on the sabbath day.
Acts 1:15	And in those days Peter stood up in the middle of the disciples, and said, (the number of names together were about an hundred and twenty,)
Psalm 89:52	Blessed be the LORD for ever more. Amen, and Amen.
Lamentations 1:13	From above has he sent fire into my bones, and it prevails against them: he has spread a net for my feet, he has turned me back: he has made me desolate and faint all the day.
2 Kings 2:18	And when they came again to him, (for he tarried at Jericho,) he said to them, Did I not say to you, Go not?
Romans 8:19	For the earnest expectation of the creature waits for the manifestation of the sons of God.
Jeremiah 22:4	For if you do this thing indeed, then shall there enter in by the gates of this house kings sitting on the throne of David, riding in chariots and on horses, he, and his servants, and his people.
Matthew 3:15	And Jesus answering said to him, Suffer it to be so now: for thus it becomes us to fulfill all righteousness. Then he suffered him.
Isaiah 41:27	The first shall say to Zion, Behold, behold them: and I will give to Jerusalem one that brings good tidings.
Zechariah 4:8	Moreover the word of the LORD came to me, saying,
Mark 6:5	And he could there do no mighty work, save that he laid his hands on a few sick folk, and healed them.
1 Corinthians 2:12	Now we have received, not the spirit of the world, but the spirit which is of God; that we might know the things that are freely given to us of God.
Psalm 62:2	He only is my rock and my salvation; he is my defense; I shall not be greatly moved.
Psalm 135:2	You that stand in the house of the LORD, in the courts of the house of our God.
Mark 4:5	And some fell on stony ground, where it had not much earth; and immediately it sprang up, because it had no depth of earth:
Hebrews 3:8	Harden not your hearts, as in the provocation, in the day of temptation in the wilderness:
Joshua 7:22	So Joshua sent messengers, and they ran to the tent; and, behold, it was hid in his tent, and the silver under it.
Deuteronomy 25:13	You shall not have in your bag divers weights, a great and a small.
1 Chronicles 11:33	Azmaveth the Baharumite, Eliahba the Shaalbonite,
2 Kings 18:26	Then said Eliakim the son of Hilkiah, and Shebna, and Joah, to Rabshakeh, Speak, I pray you, to your servants in the Syrian language; for we understand it: and talk not with us in the Jews’ language in the ears of the people that are on the wall.
John 1:15	John bore witness of him, and cried, saying, This was he of whom I spoke, He that comes after me is preferred before me: for he was before me.
Job 6:29	Return, I pray you, let it not be iniquity; yes, return again, my righteousness is in it.
2 Kings 13:9	And Jehoahaz slept with his fathers; and they buried him in Samaria: and Joash his son reigned in his stead.
2 Chronicles 1:4	But the ark of God had David brought up from Kirjathjearim to the place which David had prepared for it: for he had pitched a tent for it at Jerusalem.
James 1:3	Knowing this, that the trying of your faith works patience.
Luke 23:24	And Pilate gave sentence that it should be as they required.
Joshua 15:11	And the border went out to the side of Ekron northward: and the border was drawn to Shicron, and passed along to mount Baalah, and went out to Jabneel; and the goings out of the border were at the sea.
Psalm 89:43	You have also turned the edge of his sword, and have not made him to stand in the battle.
Isaiah 65:13	Therefore thus said the Lord GOD, Behold, my servants shall eat, but you shall be hungry: behold, my servants shall drink, but you shall be thirsty: behold, my servants shall rejoice, but you shall be ashamed:
Luke 8:4	And when much people were gathered together, and were come to him out of every city, he spoke by a parable:
Exodus 19:7	And Moses came and called for the elders of the people, and laid before their faces all these words which the LORD commanded him.
2 Samuel 19:33	And the king said to Barzillai, Come you over with me, and I will feed you with me in Jerusalem.
2 Samuel 8:14	And he put garrisons in Edom; throughout all Edom put he garrisons, and all they of Edom became David’s servants. And the LORD preserved David wherever he went.
Revelation 22:17	And the Spirit and the bride say, Come. And let him that hears say, Come. And let him that is thirsty come. And whoever will, let him take the water of life freely.
Numbers 6:26	The LORD lift up his countenance on you, and give you peace.
Numbers 33:40	And king Arad the Canaanite, which dwelled in the south in the land of Canaan, heard of the coming of the children of Israel.
Isaiah 59:19	So shall they fear the name of the LORD from the west, and his glory from the rising of the sun. When the enemy shall come in like a flood, the Spirit of the LORD shall lift up a standard against him.
2 Samuel 22:24	I was also upright before him, and have kept myself from my iniquity.
Nehemiah 1:4	And it came to pass, when I heard these words, that I sat down and wept, and mourned certain days, and fasted, and prayed before the God of heaven,
Isaiah 59:2	But your iniquities have separated between you and your God, and your sins have hid his face from you, that he will not hear.
Leviticus 4:7	And the priest shall put some of the blood on the horns of the altar of sweet incense before the LORD, which is in the tabernacle of the congregation; and shall pour all the blood of the bullock at the bottom of the altar of the burnt offering, which is at the door of the tabernacle of the congregation.
Jeremiah 5:3	O LORD, are not your eyes on the truth? you have stricken them, but they have not grieved; you have consumed them, but they have refused to receive correction: they have made their faces harder than a rock; they have refused to return.
Joel 3:20	But Judah shall dwell for ever, and Jerusalem from generation to generation.
Galatians 1:4	Who gave himself for our sins, that he might deliver us from this present evil world, according to the will of God and our Father:
Isaiah 13:22	And the wild beasts of the islands shall cry in their desolate houses, and dragons in their pleasant palaces: and her time is near to come, and her days shall not be prolonged.
Luke 4:1	And Jesus being full of the Holy Ghost returned from Jordan, and was led by the Spirit into the wilderness,
Haggai 1:15	In the four and twentieth day of the sixth month, in the second year of Darius the king.
Ezekiel 3:16	And it came to pass at the end of seven days, that the word of the LORD came to me, saying,
1 Chronicles 24:3	And David distributed them, both Zadok of the sons of Eleazar, and Ahimelech of the sons of Ithamar, according to their offices in their service.
James 1:2	My brothers, count it all joy when you fall into divers temptations;
Genesis 45:23	And to his father he sent after this manner; ten asses laden with the good things of Egypt, and ten she asses laden with corn and bread and meat for his father by the way.
1 Samuel 20:20	And I will shoot three arrows on the side thereof, as though I shot at a mark.
Acts 26:24	And as he thus spoke for himself, Festus said with a loud voice, Paul, you are beside yourself; much learning does make you mad.
1 Kings 7:1	But Solomon was building his own house thirteen years, and he finished all his house.
Numbers 36:6	This is the thing which the LORD does command concerning the daughters of Zelophehad, saying, Let them marry to whom they think best; only to the family of the tribe of their father shall they marry.
Luke 22:5	And they were glad, and covenanted to give him money.
Leviticus 23:31	You shall do no manner of work: it shall be a statute for ever throughout your generations in all your dwellings.
2 Samuel 3:39	And I am this day weak, though anointed king; and these men the sons of Zeruiah be too hard for me: the LORD shall reward the doer of evil according to his wickedness.
2 Kings 16:12	And when the king was come from Damascus, the king saw the altar: and the king approached to the altar, and offered thereon.
Genesis 11:23	And Serug lived after he begat Nahor two hundred years, and begat sons and daughters.
Numbers 7:22	One kid of the goats for a sin offering:
Romans 8:34	Who is he that comdemns? It is Christ that died, yes rather, that is risen again, who is even at the right hand of God, who also makes intercession for us.
2 Kings 8:17	Thirty and two years old was he when he began to reign; and he reigned eight years in Jerusalem.
Joshua 19:17	And the fourth lot came out to Issachar, for the children of Issachar according to their families.
Isaiah 65:22	They shall not build, and another inhabit; they shall not plant, and another eat: for as the days of a tree are the days of my people, and my elect shall long enjoy the work of their hands.
Numbers 32:7	And why discourage you the heart of the children of Israel from going over into the land which the LORD has given them?
Acts 19:12	So that from his body were brought to the sick handkerchiefs or aprons, and the diseases departed from them, and the evil spirits went out of them.
James 1:14	But every man is tempted, when he is drawn away of his own lust, and enticed.
Leviticus 11:38	But if any water be put on the seed, and any part of their carcass fall thereon, it shall be unclean to you.
Nahum 3:2	The noise of a whip, and the noise of the rattling of the wheels, and of the prancing horses, and of the jumping chariots.
Job 9:10	Which does great things past finding out; yes, and wonders without number.
Colossians 2:1	For I would that you knew what great conflict I have for you, and for them at Laodicea, and for as many as have not seen my face in the flesh;
Revelation 21:9	And there came to me one of the seven angels which had the seven vials full of the seven last plagues, and talked with me, saying, Come here, I will show you the bride, the Lamb’s wife.
Exodus 15:15	Then the dukes of Edom shall be amazed; the mighty men of Moab, trembling shall take hold on them; all the inhabitants of Canaan shall melt away.
Hebrews 9:16	For where a testament is, there must also of necessity be the death of the testator.
Nahum 2:3	The shield of his mighty men is made red, the valiant men are in scarlet: the chariots shall be with flaming torches in the day of his preparation, and the fir trees shall be terribly shaken.
